Incident Address Display,Borough,Community Board,Police Precinct,Status,Resolution Action
35 MESEROLE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
35 MESEROLE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Site downloaded for cleaning
35 SANDHILL ROAD,QUEENS,11 QUEENS,Precinct 111,Open,Unspecified
35 WEST 110 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
35 WEST 116 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
35 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched. No graffiti on property.
35 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched. No graffiti on property.
35 WEST 13 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,Closed,Cleaning crew dispatched. No graffiti on property.
35-01 213 STREET,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
35-01 213 STREET,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
35-01 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-01 97 STREET,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
35-01 97 STREET,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
35-01 COLLINS PLACE,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
35-02 99 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-02 BRADLEY AVENUE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
35-02 BRADLEY AVENUE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
35-03 31 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
35-03 BRADLEY AVENUE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
35-03 BRADLEY AVENUE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
35-04 28 AVENUE,QUEENS,01 QUEENS,Precinct 114,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-04 98 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Site downloaded for cleaning
35-05 214 PLACE,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
35-05 34 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
35-05 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-06 154 STREET,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
35-06 34 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
35-07 COLLINS PLACE,QUEENS,07 QUEENS,Precinct 109,Open,Unspecified
35-07 COLLINS PLACE,QUEENS,07 QUEENS,Precinct 109,Open,Unspecified
35-09 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-10 20 ROAD,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-10 36 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-10 99 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-11 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-15 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-16 108 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-16 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
35-16 34 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
35-17 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-18 99 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-19 BROADWAY,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
35-20 98 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-20 BORDEN AVENUE,QUEENS,02 QUEENS,Precinct 108,Open,Unspecified
35-20 BROADWAY,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
35-23 36 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-25 9 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
35-27 35 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Unspecified
35-27 35 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Unspecified
35-30 82 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Site downloaded for cleaning
35-32 99 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-33 99 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-34 99 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-36 99 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-39 VERNON BOULEVARD,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-41 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
35-43 31 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-46 104 STREET,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
35-47 98 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-49 98 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-53 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-53 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-53 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
35-54 98 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
35-63 79 STREET,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
35-64 84 STREET,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
350 BROOK AVENUE,BRONX,01 BRONX,Precinct 40,Pending,Cleaning crew dispatched.  Property cleaned.
350 EAST 109 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,Closed,Cleaning crew dispatched. No graffiti on property.
350 EAST 118 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Unspecified
350 EAST 118 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Open,Unspecified
350 EAST 92 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
350 FRANKLIN AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
350 LAFAYETTE STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
350 MOFFAT STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site downloaded for cleaning
350 REID AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,Open,Site downloaded for cleaning
350 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
350 SHEFFIELD AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
350 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
350 UTICA AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
350 WEST 57 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,Closed,Cleaning crew dispatched. No graffiti on property.
3500 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,Open,Site downloaded for cleaning
3501 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
3508 AVENUE M,BROOKLYN,18 BROOKLYN,Precinct 63,Open,Site downloaded for cleaning
350A TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Site downloaded for cleaning
351 1 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched. No graffiti on property.
351 3 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
351 BAINBRIDGE STREET,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Owner refused.
351 EAST 82 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
351 EAST 82 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
351 EVERGREEN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
351 RIDGEWOOD AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
351 ST NICHOLAS AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched. No graffiti on property.
351 TROY AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Open,Site downloaded for cleaning
3510 AVENUE S,BROOKLYN,18 BROOKLYN,Precinct 63,Closed,Cleaning crew dispatched.  Property cleaned.
3514 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
3515 AVENUE S,BROOKLYN,18 BROOKLYN,Precinct 63,Closed,Cleaning crew dispatched.  Property cleaned.
352 BROOK AVENUE,BRONX,01 BRONX,Precinct 40,Pending,Cleaning crew dispatched.  Property cleaned.
352 EAST 105 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
352 EAST 8 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
352 EAST 85 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
352 EAST 86 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
352 EAST 86 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Open,Site to be cleaned.
352 LAFAYETTE AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
352 MANHATTAN AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Cannot locate property.
352 MELROSE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
352 MELROSE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
352 ONDERDONK AVENUE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
352 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
352 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
352 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched. No graffiti on property.
3521 QUENTIN ROAD,BROOKLYN,18 BROOKLYN,Precinct 63,Closed,Cleaning crew dispatched.  Property cleaned.
3523 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
3524 3 AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
3524 AVENUE S,BROOKLYN,18 BROOKLYN,Precinct 63,Closed,Cleaning crew dispatched.  Property cleaned.
3527 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
353 EAST 138 STREET,BRONX,01 BRONX,Precinct 40,Open,Site downloaded for cleaning
353 EAST 15 STREET,MANHATTAN,06 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
353 EAST 15 STREET,MANHATTAN,06 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
353 EAST 15 STREET,MANHATTAN,06 MANHATTAN,Precinct 13,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
353 EAST 77 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
353 THORNHILL AVENUE,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
353 WEST 125 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched.  Property cleaned.
3539 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
354 BROOK AVENUE,BRONX,01 BRONX,Precinct 40,Pending,Cleaning crew dispatched.  Property cleaned.
354 EAST 193 STREET,BRONX,07 BRONX,Precinct 52,Pending,Cleaning crew dispatched.  Property cleaned.
354 EAST 20 STREET,MANHATTAN,06 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
354 EAST 78 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
354 EAST 81 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
354 KINGS HIGHWAY,BROOKLYN,11 BROOKLYN,Precinct 62,Open,Site downloaded for cleaning
354 KINGSHIGWY,BROOKLYN,11 BROOKLYN,Precinct 62,Closed,Cleaning crew dispatched.  Property cleaned.
354 MESEROLE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
354 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
354 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
354 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Graffiti Reported
3546 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
355 AMBOY STREET,BROOKLYN,16 BROOKLYN,Precinct 73,Closed,Cleaning crew dispatched.  Property cleaned.
355 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
355 EAST 78 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
355 FOOD CENTER DRIVE,BRONX,02 BRONX,Precinct 41,Open,Site downloaded for cleaning
355 FRANKLIN AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
355 KINGS HIGHWAY,BROOKLYN,11 BROOKLYN,Precinct 62,Closed,Cleaning crew dispatched.  Property cleaned.
355 WEST 125 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched.  Property cleaned.
355 WEST 41 STREET,MANHATTAN,04 MANHATTAN,Precinct 14,Closed,Cleaning crew dispatched.  Property cleaned.
355 WEST 45 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,Closed,Cleaning crew dispatched.  Property cleaned.
3559 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
356 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
356 BROOME STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Open,Site downloaded for cleaning
356 CONVENT AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
356 EAST 13 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
356 EAST 87 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
356 EAST 87 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
356 EAST 89 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
356 HOYT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
356 JUNIUS STREET,BROOKLYN,16 BROOKLYN,Precinct 73,Open,Unspecified
3560 BROADWAY,MANHATTAN,Unspecified MANHATTAN,Unspecified,Open,Unspecified
3560 OLINVILLE AVENUE,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
3569 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
3569 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
357 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
357 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
357 EAST 195 STREET,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
3573 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched.  Property cleaned.
357A CENTRAL AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
358 CONCORD AVENUE,BRONX,01 BRONX,Precinct 40,Closed,Cleaning crew dispatched.  Property cleaned.
358 EAST 78 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
358 GROVE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
358 JUNIUS STREET,BROOKLYN,16 BROOKLYN,Precinct 73,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
358 PARK AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
358 WEST 51 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,Closed,Cleaning crew dispatched.  Property cleaned.
358 WEST STREET,MANHATTAN,02 MANHATTAN,Precinct 6,Open,Site downloaded for cleaning
359 AUDUBON AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
359 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
359 CLARKSON AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
359 EAST 138 STREET,BRONX,01 BRONX,Precinct 40,Open,Site downloaded for cleaning
359 EAST 68 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
359 SOUTHERN BOULEVARD,BRONX,01 BRONX,Precinct 40,Closed,Cleaning crew dispatched.  Property cleaned.
359 WEST 126 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
3593 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,Closed,Cleaning crew dispatched. No graffiti on property.
3594 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
36 39 STREET,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
36 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
36 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
36 EAST NEW YORK AVE,BROOKLYN,Unspecified BROOKLYN,Unspecified,Open,Unspecified
36 FORD STREET,BROOKLYN,09 BROOKLYN,Precinct 71,Open,Graffiti Reported
36 GREENE STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched.  Property cleaned.
36 HOWARD STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
36 KENILWORTH PLACE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
36 MOTT STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
36 WEST 192 STREET,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
36 WEST 26 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched. No graffiti on property.
36 WEST 8 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,Open,Unspecified
36-01 10 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
36-01 164 STREET,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
36-01 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
36-01 47 AVENUE,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
36-03 169 STREET,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
36-07 164 STREET,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
36-07 COLLEGE POINT BOULEVARD,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
36-11 BROADWAY,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
36-12 108 STREET,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
36-15 164 STREET,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
36-16 SKILLMAN AVENUE,QUEENS,02 QUEENS,Precinct 108,Open,Site downloaded for cleaning
36-18 28 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
36-20 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
36-26 31 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
36-27 164 STREET,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
36-30 36 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
36-31 PRINCE STREET,QUEENS,07 QUEENS,Precinct 109,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
36-34 11 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
36-34 165 STREET,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
36-36 36 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
36-40 31 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
36-41 168 STREET,QUEENS,07 QUEENS,Precinct 109,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
36-41 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,Closed,Cleaning crew dispatched.  Property cleaned.
36-41 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,Open,Site downloaded for cleaning
36-49 31 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
36-50 31 STREET,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
36-53 35 STREET,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
360 BARLOW AVENUE,STATEN ISLAND,03 STATEN ISLAND,Precinct 122,Open,Site downloaded for cleaning
